line,loc,DTT,PH,EW
MG_1059,LN,69,228.4,148
MG_106,BJ,67,189.4,107.5
MG_106,HeB,61,171.25,81
MG_106,HN,59,169.5,80.8
MG_106,JL,88,188.4,164.6
MG_106,LN,77,187.8,70
MG_1060,BJ,63,236.2,53.33
MG_1060,HeB,55,183.2,81
MG_1060,HN,57,190,69.2
MG_1060,JL,83,214.8,89.6
MG_1060,LN,71,224.4,130
MG_1061,BJ,62,236.8,126
MG_1061,HeB,54,204.5,119.7
MG_1061,HN,71,175.2,35.6
MG_1061,JL,77,223.4,95.2
MG_1061,LN,69,226.64,127.5
MG_1062,BJ,61,230,72
MG_1062,HeB,56,229.5,91.17
MG_1062,HN,61,247.5,67.4
MG_1062,JL,79,246.5,81.2
MG_1062,LN,73,227.3,150
MG_1063,BJ,68,220,63.33
MG_1063,HeB,66,210.25,111.5
MG_1063,HN,69,173,51.2
MG_1063,JL,91,189.2,31
MG_1063,LN,77,233.8,90
MG_1064,BJ,66,219,76.67
MG_1064,HeB,67,184.5,NA
MG_1064,HN,64,172,88.2
MG_1064,JL,84,194,181.6
MG_1064,LN,73,205.25,155
MG_1065,BJ,57,192.2,83.33
MG_1065,HeB,55,157,96.33
MG_1065,HN,58,151.4,68.8
MG_1065,JL,79,179.8,84.4
MG_1065,LN,71,181.6,111.25
MG_1066,BJ,73,238.4,25
MG_1066,HeB,75,NA,NA
MG_1066,HN,77,155,NA
MG_1066,JL,90,261.8,156.2
MG_1066,LN,NA,214,190
MG_1067,BJ,61,242.4,33.33
MG_1067,HeB,57,219,76.17
MG_1067,HN,57,191.8,26.2
MG_1067,JL,84,223.4,35
MG_1067,LN,73,222.6,82.5
MG_1068,BJ,64,219.4,NA
MG_1068,HeB,55,248.4,NA
MG_1068,HN,58,225,NA
MG_1068,JL,84,216.8,NA
MG_1068,LN,70,220.47,NA
MG_1069,BJ,76,274.2,25
MG_1069,HeB,NA,NA,NA
MG_1069,HN,72,203.5,58.2
MG_1069,JL,100,213,101.75
MG_1069,LN,84,205.25,NA
MG_107,BJ,65,240.4,43.33
MG_107,HeB,56,202,75
MG_107,HN,59,205.8,80.2
MG_107,JL,83,233.75,120.4
MG_107,LN,73,227,106.25
MG_1070,BJ,68,196.6,90
MG_1070,HeB,54,166,90.7
MG_1070,HN,59,158,75.75
MG_1070,JL,82,192,139.6
MG_1070,LN,72,201.5,137
MG_1071,BJ,70,211,43.33
MG_1071,HeB,64,195.2,73.67
MG_1071,HN,64,174.25,43.8
MG_1071,JL,82,199.2,87.6
MG_1071,LN,74,196.8,73.75
MG_1072,BJ,62,211.25,74
MG_1072,HeB,55,187,61.88
MG_1072,HN,59,167.5,66.8
MG_1072,JL,79,191,136.6
MG_1072,LN,72,219.5,121.25
MG_1073,BJ,62,213.8,70
MG_1073,HeB,54,198,99.5
MG_1073,HN,58,185,85.6
MG_1073,JL,82,209.75,137.8
MG_1073,LN,72,224.6,163.75
MG_1074,BJ,64,243.4,46
MG_1074,HeB,61,214.75,94.62
MG_1074,HN,69,158.6,19.33
MG_1074,JL,83,222.8,97.8
MG_1074,LN,74,218.8,112.5
MG_1075,BJ,67,235.4,67.5
MG_1075,HeB,62,183,51.88
MG_1075,HN,64,202.4,51.8
MG_1075,JL,80,242,140.2
MG_1075,LN,74,238.8,111
MG_1076,BJ,66,224.75,90
MG_1076,HeB,63,189.5,155.75
MG_1076,HN,65,152.6,27
MG_1076,JL,80,213.75,207
MG_1076,LN,75,202.25,168.75
MG_1077,BJ,69,230.4,73.33
MG_1077,HeB,61,206.75,84.2
MG_1077,HN,60,213,95.6
MG_1077,JL,85,239.8,106
MG_1077,LN,74,234,83.75
MG_1078,BJ,62,241.6,60
MG_1078,HeB,55,220.5,78.38
MG_1078,HN,60,206.4,82.8
MG_1078,JL,80,230.6,141
MG_1078,LN,71,247.4,132
MG_1079,BJ,67,203.5,110
MG_1079,HeB,63,176,109.83
MG_1079,HN,60,175.75,66.4
MG_1079,JL,83,221.2,95.8
MG_1079,LN,76,214.25,83
MG_108,BJ,67,237.6,40
MG_108,HeB,58,216.4,79.5
MG_108,HN,57,186.8,88.2
MG_108,JL,84,221.5,66.8
MG_108,LN,73,231,116
MG_1080,BJ,63,206.8,76
MG_1080,HeB,55,158.4,72.22
MG_1080,HN,61,141.75,58.8
MG_1080,JL,78,199.8,119.6
MG_1080,LN,72,199.4,123.75
MG_1081,BJ,68,224.2,64
MG_1081,HeB,62,241.25,103.83
MG_1081,HN,66,231.2,94.6
MG_1081,JL,85,230.4,112
MG_1081,LN,75,233.62,113.33
MG_1082,BJ,69,221.75,54
MG_1082,HeB,67,203,100.8
MG_1082,HN,67,169.5,79.8
MG_1082,JL,89,210,127.8
MG_1082,LN,78,204.8,99
MG_1083,BJ,69,242,42
MG_1083,HeB,62,251.4,102.33
MG_1083,HN,68,206.4,45
MG_1083,JL,85,234,170.4
MG_1083,LN,74,241.8,132.5
MG_1084,BJ,66,228.75,42
MG_1084,HeB,58,245,102.5
MG_1084,HN,62,208.75,76.6
MG_1084,JL,87,241.75,127.4
MG_1084,LN,77,244.12,125
MG_1085,BJ,63,221,80
MG_1085,HeB,58,194.4,68.5
MG_1085,HN,58,189.6,67.8
MG_1085,JL,81,234.25,81.6
MG_1085,LN,77,222,110
MG_1086,BJ,62,238,116
MG_1086,HeB,61,211.75,96.75
MG_1086,HN,74,158.25,39
MG_1086,JL,81,222.5,177
MG_1086,LN,70,230.6,135
MG_1087,BJ,69,196.4,35
MG_1087,HeB,63,194,37.2
MG_1087,HN,64,193.25,39.6
MG_1087,JL,90,186.6,41
MG_1087,LN,77,209.8,84
MG_1088,BJ,62,217.2,104
MG_1088,HeB,58,169.6,79.3
MG_1088,HN,59,173.3,85.6
